"Source","Translation"
"Every record must belong to a Site","كل سجل يجب أن يكون مرتبطًا بموقع"
"Cannot dispatch: Certificate {0} is expired","لا يمكن الشحن: الشهادة {0} منتهية الصلاحية"
"Only a user with role 'QA Manager' may set Lot status to {0}","يسمح فقط لمستخدم بدور 'QA Manager' بتعيين حالة الدفعة إلى {0}"
"Lot Number","رقم الدفعة"
"Site","الموقع"
"Crop","المحصول"
"Quantity (kg)","الكمية (كغ)"
"Status","الحالة"
"Certificate Type","نوع الشهادة"
"Expiry Date","تاريخ الانتهاء"
"Test Type","نوع الاختبار"
"Test Date","تاريخ الاختبار"
"Result Value","قيمة النتيجة"
"Pass/Fail","نجاح/فشل"
"CAPA Description","وصف إجراء التصحيح والوقاية"
"Open","مفتوح"
"Under Review","قيد المراجعة"
"Closed","مغلق"
