Idea ID,Stage,Primary user(s),Sub-domain,Description,AI Mode,Actionability,KPIs,Risks,Integrations / data sources,Column1,AI Prompt
AGR-CEREAL-001,A,Farm owner; Agronomist,Crop/Variety Selection,"This backlog item targets Crop/Variety Selection in stage A, solving: Picking crop/variety per plot is inconsistent and ignores long-term soil and climate risk. It uses Optimization + Prediction and runs in Propose-only mode, measuring success via Margin/ha; Yield/ha; Rotation compliance and mitigating risks such as Wrong recommendation impacts season; needs explainability with integrations like GIS/field boundaries; soil tests; historical yields; weather/climate.",Optimization + Prediction,Propose-only,Margin/ha; Yield/ha; Rotation compliance,Wrong recommendation impacts season; needs explainability,GIS/field boundaries; soil tests; historical yields; weather/climate,A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-001 (Stage A) for users: Farm owner; Agronomist. Feature: Crop/Variety Selection. AI mode: Optimization + Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Margin/ha; Yield/ha; Rotation compliance); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: GIS/field boundaries; soil tests; historical yields; weather/climate. Risks to mitigate: Wrong recommendation impacts season; needs explainability. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-002,A,Agronomist,Fertility Plan Optimization,"This backlog item targets Fertility Plan Optimization in stage A, solving: Fertility plans are generic and don�t reflect plot-level variability and nutrient carryover. It uses Optimization and runs in Propose-only mode, measuring success via Nutrient efficiency; Cost/ha; Yield stability and mitigating risks such as Over-application/environmental compliance risk with integrations like Soil lab data; past application logs; equipment maps.",Optimization,Propose-only,Nutrient efficiency; Cost/ha; Yield stability,Over-application/environmental compliance risk,Soil lab data; past application logs; equipment maps,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-002 (Stage A) for users: Agronomist. Feature: Fertility Plan Optimization. AI mode: Optimization. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Nutrient efficiency; Cost/ha; Yield stability); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Soil lab data; past application logs; equipment maps. Risks to mitigate: Over-application/environmental compliance risk. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-003,A,Farm manager,Planting Window Prediction,"This backlog item targets Planting Window Prediction in stage A, solving: Planting window decisions are gut-feel, causing rework and missed yield potential. It uses Prediction and runs in Propose-only mode, measuring success via On-time planting %; Yield delta; Replant rate and mitigating risks such as Forecast uncertainty must be communicated with integrations like Weather forecast; soil moisture; station data.",Prediction,Propose-only,On-time planting %; Yield delta; Replant rate,Forecast uncertainty must be communicated,Weather forecast; soil moisture; station data,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-003 (Stage A) for users: Farm manager. Feature: Planting Window Prediction. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (On-time planting %; Yield delta; Replant rate); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Weather forecast; soil moisture; station data. Risks to mitigate: Forecast uncertainty must be communicated. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-004,A,Sustainability/ESG lead,Planning Impact Simulation,"This backlog item targets Planning Impact Simulation in stage A, solving: Hard to quantify emissions, fertilizer impact, and soil health tradeoffs during planning. It uses Simulation and runs in Read-only mode, measuring success via CO2e/ton; Soil health proxy; Audit readiness and mitigating risks such as Model assumptions; needs audit trail with integrations like Inputs plan; fuel use; soil proxies; emission factors.",Simulation,Read-only,CO2e/ton; Soil health proxy; Audit readiness,Model assumptions; needs audit trail,Inputs plan; fuel use; soil proxies; emission factors,A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-004 (Stage A) for users: Sustainability/ESG lead. Feature: Planning Impact Simulation. AI mode: Simulation. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (CO2e/ton; Soil health proxy; Audit readiness); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Inputs plan; fuel use; soil proxies; emission factors. Risks to mitigate: Model assumptions; needs audit trail. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-005,A,Co-op planner,Acreage Aggregation Forecast,"This backlog item targets Acreage Aggregation Forecast in stage A, solving: Aggregated acreage plans are late/inaccurate, breaking procurement and logistics. It uses Forecasting and runs in Read-only mode, measuring success via Acreage forecast error; Downstream stockouts and mitigating risks such as Incentives to misreport acreage with integrations like Member plans; satellite crop maps; historical change.",Forecasting,Read-only,Acreage forecast error; Downstream stockouts,Incentives to misreport acreage,Member plans; satellite crop maps; historical change,A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-005 (Stage A) for users: Co-op planner. Feature: Acreage Aggregation Forecast. AI mode: Forecasting. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Acreage forecast error; Downstream stockouts); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Member plans; satellite crop maps; historical change. Risks to mitigate: Incentives to misreport acreage. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-006,A,Farm finance,Budget Scenario Engine,"This backlog item targets Budget Scenario Engine in stage A, solving: Budgeting ignores input price volatility and alternative scenarios. It uses Simulation and runs in Read-only mode, measuring success via Budget variance; ROI accuracy and mitigating risks such as Market volatility; model risk with integrations like Price feeds; purchase history; acreage plans.",Simulation,Read-only,Budget variance; ROI accuracy,Market volatility; model risk,Price feeds; purchase history; acreage plans,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-006 (Stage A) for users: Farm finance. Feature: Budget Scenario Engine. AI mode: Simulation. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Budget variance; ROI accuracy); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Price feeds; purchase history; acreage plans. Risks to mitigate: Market volatility; model risk. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-007,A,Water manager,Irrigation Feasibility & Plan,"This backlog item targets Irrigation Feasibility & Plan in stage A, solving: Irrigation feasibility is assessed too late, causing crop stress and cost overruns. It uses Optimization + Prediction and runs in Propose-only mode, measuring success via Water use efficiency; Stress days reduced and mitigating risks such as Water rights constraints with integrations like Irrigation system data; water rights; weather.",Optimization + Prediction,Propose-only,Water use efficiency; Stress days reduced,Water rights constraints,Irrigation system data; water rights; weather,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-007 (Stage A) for users: Water manager. Feature: Irrigation Feasibility & Plan. AI mode: Optimization + Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Water use efficiency; Stress days reduced); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Irrigation system data; water rights; weather. Risks to mitigate: Water rights constraints. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-008,A,Agronomist,Disease-Resistant Variety Reco,"This backlog item targets Disease-Resistant Variety Reco in stage A, solving: Disease pressure history isn�t systematically used in variety selection. It uses Prediction and runs in Propose-only mode, measuring success via Disease incidence; Fungicide cost reduction and mitigating risks such as False confidence; must show evidence with integrations like Disease reports; variety traits; weather.",Prediction,Propose-only,Disease incidence; Fungicide cost reduction,False confidence; must show evidence,Disease reports; variety traits; weather,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-008 (Stage A) for users: Agronomist. Feature: Disease-Resistant Variety Reco. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Disease incidence; Fungicide cost reduction); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Disease reports; variety traits; weather. Risks to mitigate: False confidence; must show evidence. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-009,A,Farm ops,Field Accessibility Risk,"This backlog item targets Field Accessibility Risk in stage A, solving: Field accessibility isn�t planned, delaying ops and damaging soil. It uses Prediction and runs in Propose-only mode, measuring success via Delay days; Compaction events and mitigating risks such as Sensor gaps; uncertainty UX needed with integrations like Soil moisture; rainfall; field history.",Prediction,Propose-only,Delay days; Compaction events,Sensor gaps; uncertainty UX needed,Soil moisture; rainfall; field history,A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-009 (Stage A) for users: Farm ops. Feature: Field Accessibility Risk. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Delay days; Compaction events); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Soil moisture; rainfall; field history. Risks to mitigate: Sensor gaps; uncertainty UX needed. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-010,A,Reg/Compliance,Geo-Regulatory Input Flags,"This backlog item targets Geo-Regulatory Input Flags in stage A, solving: Planning doesn�t flag restricted inputs or buffer-zone rules by geography. It uses RAG-docs + Rules and runs in Read-only mode, measuring success via Violations prevented; Audit pass rate and mitigating risks such as Regulatory updates; legal accountability with integrations like Reg docs; GIS layers; input catalog.",RAG-docs + Rules,Read-only,Violations prevented; Audit pass rate,Regulatory updates; legal accountability,Reg docs; GIS layers; input catalog,A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-010 (Stage A) for users: Reg/Compliance. Feature: Geo-Regulatory Input Flags. AI mode: RAG-docs + Rules. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Violations prevented; Audit pass rate); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Reg docs; GIS layers; input catalog. Risks to mitigate: Regulatory updates; legal accountability. Keep scope tight; do not add extra pages/features beyond the backlog item.
