parent,parenttype,parentfield,idx,fieldname,label,fieldtype,options,reqd,unique,read_only,hidden,in_list_view,in_filter,in_global_search,in_standard_filter,permlevel,depends_on,mandatory_depends_on,read_only_depends_on,default,description,collapsible,length,precision,modified
About Us Settings,DocType,fields,1,is_disabled,Disabled,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,2,page_title,Page Title,Data,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,3,company_introduction,Company Introduction,Text Editor,,0,0,0,0,1,0,0,0,0,,,,,Introduce your company to the website visitor.,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,4,sb0,Org History,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,5,company_history_heading,Org History Heading,Data,,0,0,0,0,1,0,0,0,0,,,,,"""Company History""",0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,6,company_history,Org History,Table,Company History,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,7,sb1,Team Members,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,8,team_members_heading,Team Members Heading,Data,,0,0,0,0,0,0,0,0,0,,,,,"""Team Members"" or ""Management""",0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,9,team_members_subtitle,Team Members Subtitle,Small Text,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,10,team_members,Team Members,Table,About Us Team Member,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:51.649509
About Us Settings,DocType,fields,11,footer,Footer,Text Editor,,0,0,0,0,0,0,0,0,0,,,,,More content for the bottom of the page.,0,0,,2026-02-13 14:07:51.649509
About Us Team Member,DocType,fields,1,full_name,Full Name,Data,,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:50.979096
About Us Team Member,DocType,fields,2,image_link,Image Link,Attach,,0,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:50.979096
About Us Team Member,DocType,fields,3,bio,Bio,Small Text,,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:07:50.979096
