parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
About Us Settings,Website Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:07:51.649509
Access Log,System Manager,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:49.708955
Account,Auditor,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:08.619079
Account,Accounts User,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:08.619079
Account,Purchase User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:08.619079
Account,Accounts Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:08.619079
Account,Sales User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:08.619079
Account Category,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.955952
Account Category,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.955952
Account Category,Auditor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:02.955952
Account Closing Balance,Accounts Manager,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2026-02-13 14:08:10.403305
Account Closing Balance,Accounts User,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2026-02-13 14:08:10.403305
Account Closing Balance,Auditor,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2026-02-13 14:08:10.403305
Accounting Dimension,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:08.283233
Accounting Dimension,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:08.283233
Accounting Dimension Filter,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:11.035432
Accounting Dimension Filter,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:11.035432
Accounting Dimension Filter,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:11.035432
Accounting Period,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.687632
Accounting Period,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.687632
Accounting Period,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.687632
Accounts Settings,Purchase User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:09.010085
Accounts Settings,Accounts Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:09.010085
Accounts Settings,Sales User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:09.010085
Activity Cost,Projects User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:16.506057
Activity Log,System Manager,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2026-02-13 14:07:48.846743
Activity Type,System Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:16.662373
Activity Type,Employee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:16.662373
Activity Type,Projects User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:16.662373
Address,Maintenance User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.911565
Address,Sales User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.911565
Address,System Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:07:57.911565
Address,Accounts User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.911565
Address,Purchase User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.911565
Address,All,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2026-02-13 14:07:57.911565
Address Template,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,2026-02-13 14:07:57.825366
Advance Payment Ledger Entry,Accounts User,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:01.561402
Advance Payment Ledger Entry,Auditor,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:01.561402
Advance Payment Ledger Entry,Accounts Manager,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:01.561402
API Request Log,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:48.453275
Appointment,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:13.856438
Appointment,Sales User,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:13.856438
Appointment,Employee,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:13.856438
Appointment,Sales Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:13.856438
Appointment Booking Settings,Sales Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.630913
Appointment Booking Settings,HR Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.630913
Appointment Booking Settings,System Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.630913
Asset,Accounts User,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2026-02-13 14:08:32.035920
