name,doc_type,field_name,property,property_type,value,default_value,modified
Data Import-google_sheets_url-in_list_view,Data Import,google_sheets_url,in_list_view,Check,1,,2026-02-22 10:19:15.025844
Data Import-payload_count-in_list_view,Data Import,payload_count,in_list_view,Check,1,,2026-02-21 23:13:26.279143
Data Import-submit_after_import-in_list_view,Data Import,submit_after_import,in_list_view,Check,1,,2026-02-21 23:13:26.274138
Data Import-status-in_list_view,Data Import,status,in_list_view,Check,1,,2026-02-21 23:13:26.269675
Data Import-template_options-in_list_view,Data Import,template_options,in_list_view,Check,1,,2026-02-21 23:13:26.263957
Data Import-import_type-in_list_view,Data Import,import_type,in_list_view,Check,1,,2026-02-21 23:13:26.257752
Data Import-import_file-in_list_view,Data Import,import_file,in_list_view,Check,1,,2026-02-21 23:13:26.251663
Data Import-reference_doctype-in_list_view,Data Import,reference_doctype,in_list_view,Check,1,,2026-02-21 23:13:26.172157
Purchase Receipt Item-from_warehouse-hidden,Purchase Receipt Item,from_warehouse,hidden,Check,1,,2026-02-13 11:48:37.580999
Purchase Invoice Item-from_warehouse-hidden,Purchase Invoice Item,from_warehouse,hidden,Check,1,,2026-02-13 11:48:37.567514
Delivery Note Item-target_warehouse-hidden,Delivery Note Item,target_warehouse,hidden,Check,1,,2026-02-13 11:48:37.551893
Sales Invoice Item-target_warehouse-hidden,Sales Invoice Item,target_warehouse,hidden,Check,1,,2026-02-13 11:48:37.537494
Stock Entry-scan_barcode-hidden,Stock Entry,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.483374
Delivery Note-scan_barcode-hidden,Delivery Note,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.470954
Pick List-scan_barcode-hidden,Pick List,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.459667
Stock Reconciliation-scan_barcode-hidden,Stock Reconciliation,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.444377
Purchase Receipt-scan_barcode-hidden,Purchase Receipt,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.432783
Material Request-scan_barcode-hidden,Material Request,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.420681
Quotation-scan_barcode-hidden,Quotation,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.409587
Sales Order-scan_barcode-hidden,Sales Order,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.399292
Purchase Order-scan_barcode-hidden,Purchase Order,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.387142
Purchase Invoice-scan_barcode-hidden,Purchase Invoice,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.375703
Sales Invoice-scan_barcode-hidden,Sales Invoice,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.364768
POS Invoice-scan_barcode-hidden,POS Invoice,scan_barcode,hidden,Check,0,,2026-02-13 11:48:37.352627
Item-barcodes-hidden,Item,barcodes,hidden,Check,0,,2026-02-13 11:48:37.338048
Item Barcode-barcode-hidden,Item Barcode,barcode,hidden,Check,0,,2026-02-13 11:48:37.320625
Purchase Receipt Item-barcode-hidden,Purchase Receipt Item,barcode,hidden,Check,0,,2026-02-13 11:48:37.306000
Stock Reconciliation Item-barcode-hidden,Stock Reconciliation Item,barcode,hidden,Check,0,,2026-02-13 11:48:37.293039
Delivery Note Item-barcode-hidden,Delivery Note Item,barcode,hidden,Check,0,,2026-02-13 11:48:37.281083
Stock Entry Detail-barcode-hidden,Stock Entry Detail,barcode,hidden,Check,0,,2026-02-13 11:48:37.268863
