name,module,custom,issingle,istable,is_submittable,autoname,naming_rule,title_field,search_fields,sort_field,sort_order,quick_entry,allow_rename,allow_copy,allow_import,allow_guest_to_view,restrict_to_domain,editable_grid,track_changes,read_only,in_create,is_tree,show_name_in_global_search,beta,modified
About Us Settings,Website,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2025-08-22 15:56:33.957707
About Us Team Member,Website,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:01:26.563628
Access Log,Core,0,0,0,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:01:26.702078
Account,Accounts,0,0,0,0,,,,account_number,creation,ASC,0,0,1,1,0,,0,1,0,0,1,1,0,2025-08-02 06:26:44.657146
Account Category,Accounts,0,0,0,0,field:account_category_name,By fieldname,,"account_category_name, description",creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-10-15 03:19:47.171349
Account Closing Balance,Accounts,0,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,1,0,0,0,2025-08-22 19:13:50.400404
Accounting Dimension,Accounts,0,0,0,0,field:label,,,,creation,ASC,0,0,0,0,0,,0,1,0,0,0,0,0,2024-03-27 13:05:56.890002
Accounting Dimension Detail,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:57.056874
Accounting Dimension Filter,Accounts,0,0,0,0,format:{accounting_dimension}-{#####},Expression,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-08-08 14:13:22.203011
Accounting Period,Accounts,0,0,0,0,field:period_name,By fieldname,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-12-01 16:53:44.631299
Accounts Settings,Accounts,0,1,0,0,,,,,creation,ASC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-11 18:30:45.968531
Activity Cost,Projects,0,0,0,0,PROJ-ACC-.#####,,title,,creation,DESC,0,1,0,1,0,,0,0,0,0,0,0,0,2024-03-27 13:05:57.800347
Activity Log,Core,0,0,0,0,,,subject,subject,creation,DESC,0,0,0,1,0,,0,0,0,0,0,0,0,2024-03-23 16:01:26.898094
Activity Type,Projects,0,0,0,0,field:activity_type,,,,creation,ASC,1,1,0,1,0,,0,0,0,0,0,0,0,2024-08-16 19:22:57.706521
Address,Contacts,0,0,0,0,,,,"country, state",creation,DESC,0,1,0,1,0,,0,0,0,0,0,0,0,2024-03-23 16:01:27.068028
Address Template,Contacts,0,0,0,0,field:country,,,,creation,DESC,1,1,0,0,0,,0,0,0,0,0,0,0,2024-03-23 16:01:27.242795
Advance Payment Ledger Entry,Accounts,0,0,0,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,1,0,0,0,2025-11-13 12:45:03.014555
Advance Taxes and Charges,Accounts,0,0,1,0,,,,,creation,ASC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-12-15 06:42:18.707671
Allowed Dimension,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:58.587487
Allowed To Transact With,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:58.698893
Amended Document Naming Settings,Core,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:01:27.410335
API Request Log,Core,0,0,0,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,1,0,0,0,2025-10-29 11:26:28.177653
Applicable On Account,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:59.168897
Appointment,CRM,0,0,0,0,format:APMT-{customer_name}-{####},,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:59.300573
Appointment Booking Settings,CRM,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-02 18:18:46.617101
Appointment Booking Slots,CRM,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:05:59.620479
Asset,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",asset_name,,modified,DESC,0,1,0,1,0,,0,1,0,0,0,1,0,2025-12-18 16:36:40.904246
Asset Activity,Assets,0,0,0,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,1,0,0,0,2024-03-27 13:06:32.933603
Asset Capitalization,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-05-20 15:15:12.110035
Asset Capitalization Asset Item,Assets,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:33.350191
Asset Capitalization Service Item,Assets,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:33.503815
Asset Capitalization Stock Item,Assets,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-03-05 12:46:01.074742
Asset Category,Assets,0,0,0,0,field:asset_category_name,,,,creation,DESC,0,1,0,1,0,,0,1,0,0,0,1,0,2025-05-13 15:33:03.791814
Asset Category Account,Assets,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:34.012854
Asset Depreciation Schedule,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-05-23 01:17:16.708004
Asset Finance Book,Assets,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-01-06 17:14:51.836803
Asset Maintenance,Assets,0,0,0,0,field:asset_name,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:34.491299
Asset Maintenance Log,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-09-24 15:12:37.497853
Asset Maintenance Task,Assets,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:06:34.835687
Asset Maintenance Team,Assets,0,0,0,0,field:maintenance_team_name,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:34.976117
Asset Movement,Assets,0,0,0,1,format:ACC-ASM-{YYYY}-{#####},Expression,,,creation,DESC,0,0,0,1,0,,0,0,0,0,0,0,0,2025-05-30 17:01:55.864353
Asset Movement Item,Assets,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:06:35.272015
Asset Repair,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",asset_name,,creation,DESC,0,0,0,1,0,,1,1,0,0,0,0,0,2026-01-06 15:48:13.862505
Asset Repair Consumed Item,Assets,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-06-27 14:52:56.311166
Asset Repair Purchase Invoice,Assets,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-08-16 16:40:32.000006
Asset Shift Allocation,Assets,0,0,0,1,naming_series:,"By ""Naming Series"" field",,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2025-01-10 16:25:31.397325
Asset Shift Factor,Assets,0,0,0,0,field:shift_name,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2024-03-27 13:06:35.869900
Asset Value Adjustment,Assets,0,0,0,1,,,asset,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-12-18 15:04:18.726505
Assignment Rule,Automation,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2025-08-25 17:09:11.644603
Assignment Rule Day,Automation,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:01:27.759155
Assignment Rule User,Automation,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:01:27.847608
Audit Trail,Core,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:01:28.029916
Authorization Control,Setup,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2024-03-27 13:06:36.513715
Authorization Rule,Setup,0,0,0,0,HR-ARU-.#####,Expression (old style),,"transaction,based_on,system_user,system_role,approving_user,approving_role",creation,DESC,0,0,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:06:36.613880
