"Data Import Template"
"Table:","Workspace Sidebar"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Workspace Sidebar","","","","","","","","~","Workspace Sidebar Item","items","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Created On","Created By","Title","Header Icon","For User","Standard","App","","ID","Created On","Created By","Label","Link Type","Icon","Type","Link To","Child Item","Tab","URL","Collapsible","Indent","Keep Closed","Show Arrow","Display Depends On (JS)","Filters","Route Options"
"Column Name:","name","creation","owner","title","header_icon","for_user","standard","app","~","name","creation","owner","label","link_type","icon","type","link_to","child","navigate_to_tab","url","collapsible","indent","keep_closed","show_arrow","display_depends_on","filters","route_options"
"Mandatory:","Yes","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Datetime","Link","Data","Icon","Link","Check","Autocomplete","","Data","Datetime","Link","Data","Select","Icon","Select","Dynamic Link","Check","Autocomplete","Data","Check","Check","Check","Check","Code","Code","Code"
"Info:","","dd-mm-yyyy","Valid User","","","Valid User","0 or 1","","","","dd-mm-yyyy","Valid User","","One of: DocType, Page, Report, Workspace, Dashboard, URL","","One of: Link, Section Break, Spacer, Sidebar Item Group","","0 or 1","","","0 or 1","0 or 1","0 or 1","0 or 1","","",""
"Start entering data below this line"
"","""Accounts Setup""","2026-01-23 14:36:51.659571","Administrator","Accounts Setup","database","",1,"erpnext","","""njus72fpcb""","2026-01-23 14:36:51.659571","Administrator","Setup","DocType","database","Section Break","",0,"","",1,1,0,0,"","",""
"","","","","","","","","","","""njute97o8o""","2026-01-23 14:36:51.659571","Administrator","Chart of Accounts","DocType","","Link","Account",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njuopc7fmb""","2026-01-23 14:36:51.659571","Administrator","Chart of Cost Centers","DocType","","Link","Cost Center",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njugt2msf3""","2026-01-23 14:36:51.659571","Administrator","Account Category","DocType","","Link","Account Category",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njuvn9jk25""","2026-01-23 14:36:51.659571","Administrator","Accounting Dimension","DocType","","Link","Accounting Dimension",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njusoal7q7""","2026-01-23 14:36:51.659571","Administrator","Currency","DocType","","Link","Currency",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""nju9kbolsh""","2026-01-23 14:36:51.659571","Administrator","Currency Exchange","DocType","","Link","Currency Exchange",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njulm54iak""","2026-01-23 14:36:51.659571","Administrator","Finance Book","DocType","","Link","Finance Book",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njuptuiha7""","2026-01-23 14:36:51.659571","Administrator","Mode of Payment","DocType","","Link","Mode of Payment",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""nju1ekd5df""","2026-01-23 14:36:51.659571","Administrator","Payment Term","DocType","","Link","Payment Term",1,"","",1,0,0,0,"","",""
