"Data Import Template"
"Table:","Workspace"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Workspace","","","","","","","","","","","","","","","","","","","","~","Workspace Number Card","number_cards","","","","~","Workspace Chart","charts","","","","~","Workspace Shortcut","shortcuts","","","","","","","","","","","","","","~","Workspace Link","links","","","","","","","","","","","","","","~","Workspace Quick List","quick_lists","","","","","~","Workspace Custom Block","custom_blocks","","","","~","Has Role","roles","",""
"Column Labels:","ID","Name","Title","Type","Created On","Created By","Sequence Id","For User","Parent Page","Module","App","Link Type","Link To","External Link","Icon","Indicator Color","Restrict to Domain","Hide Custom DocTypes and Reports","Public","Is Hidden","","ID","Number Card Name","Created On","Created By","Label","","ID","Chart Name","Created On","Created By","Label","","ID","Type","Label","Created On","Created By","Link To","URL","DocType View","Kanban Board","Icon","Restrict to Domain","Report Ref DocType","Count Filter","Color","Format","","ID","Type","Label","Created On","Created By","Icon","Description","Hidden","Link Type","Link To","Report Ref DocType","Dependencies","Only for","Onboard","Is Query Report","","ID","DocType","Label","Created On","Created By","Quick List Filter","","ID","Created On","Created By","Custom Block Name","Label","","ID","Created On","Created By","Role"
"Column Name:","name","label","title","type","creation","owner","sequence_id","for_user","parent_page","module","app","link_type","link_to","external_link","icon","indicator_color","restrict_to_domain","hide_custom","public","is_hidden","~","name","number_card_name","creation","owner","label","~","name","chart_name","creation","owner","label","~","name","type","label","creation","owner","link_to","url","doc_view","kanban_board","icon","restrict_to_domain","report_ref_doctype","stats_filter","color","format","~","name","type","label","creation","owner","icon","description","hidden","link_type","link_to","report_ref_doctype","dependencies","only_for","onboard","is_query_report","~","name","document_type","label","creation","owner","quick_list_filter","~","name","creation","owner","custom_block_name","label","~","name","creation","owner","role"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","","Yes","Yes","No","No","No","","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","No","No","No","","Yes","No","No","No","No","","Yes","No","No","No"
"Type:","Data","Data","Data","Select","Datetime","Link","Float","Data","Link","Link","Data","Select","Dynamic Link","Data","Icon","Select","Link","Check","Check","Check","","Data","Link","Datetime","Link","Data","","Data","Link","Datetime","Link","Data","","Data","Select","Data","Datetime","Link","Dynamic Link","Data","Select","Link","Data","Link","Link","Code","Color","Data","","Data","Select","Data","Datetime","Link","Data","HTML Editor","Check","Select","Dynamic Link","Link","Data","Link","Check","Check","","Data","Link","Data","Datetime","Link","Code","","Data","Datetime","Link","Link","Data","","Data","Datetime","Link","Link"
"Info:","","","","One of: Workspace, Link, URL","dd-mm-yyyy","Valid User","","","Valid Workspace","Valid Module Def","","One of: DocType, Page, Report","","","","One of: green, cyan, blue, orange, yellow, gray, grey, red, pink, darkgrey, purple, light-blue","Valid Domain","0 or 1","0 or 1","0 or 1","","","Valid Number Card","dd-mm-yyyy","Valid User","","","","Valid Dashboard Chart","dd-mm-yyyy","Valid User","","","","One of: DocType, Report, Page, Dashboard, URL","","dd-mm-yyyy","Valid User","","","One of: List, Report Builder, Dashboard, Tree, New, Calendar, Kanban, Image","Valid Kanban Board","","Valid Domain","Valid DocType","","","","","","One of: Link, Card Break","","dd-mm-yyyy","Valid User","","","0 or 1","One of: DocType, Page, Report","","Valid DocType","","Valid Country","0 or 1","0 or 1","","","Valid DocType","","dd-mm-yyyy","Valid User","","","","dd-mm-yyyy","Valid User","Valid Custom HTML Block","","","","dd-mm-yyyy","Valid User","Valid Role"
"Start entering data below this line"
"","""Agriculture""","Agriculture","Agriculture","Workspace","2020-03-02 17:23:34.339274","Administrator",3.0,"","","Agriculture","agriculture","","","","agriculture","","",0,1,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p4diudkn""","Card Break","Crops & Lands","2020-03-02 17:23:34.339274","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","""amde3hk4vm""","2020-03-02 17:23:34.339274","yasser.yah@yahoo.com","Agriculture Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pdp9nv2i""","Link","Crop","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Crop","","","",1,0,"","","","","","","","","","","","","","","""amdjcglrkh""","2020-03-02 17:23:34.339274","yasser.yah@yahoo.com","Agriculture User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7peq8e7ga""","Link","Crop Cycle","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Crop Cycle","","","",1,0,"","","","","","","","","","","","","","","""amderrsf1k""","2020-03-02 17:23:34.339274","yasser.yah@yahoo.com","Administrator"
